"id","cfs","offensedate","offensehour","offensedow","cfsaddress","cfslatitude","cfslongitude","cfs-2","cfs_type","cfs_class","date","moonphase"
218009891,"Criminal Mischief (misdemeanor)","2018-05-24",0,"Thursday","2600 BLK SW ARCHER RD",29.632396,-82.361664,"Criminal Mischief (misdemeanor)","Quality of Life","Property","2018-05-24","First Quarter"
618005681,"Criminal Mischief (misdemeanor)","2018-07-25",0,"Wednesday","600 BLK NE 10TH PL",29.661493,-82.318865,"Criminal Mischief (misdemeanor)","Quality of Life","Property","2018-07-25","First Quarter"
518000185,"Drug Violation (sid)","2018-04-25",17,"Wednesday","BLK MM 381 NB",NULL,NULL,"Drug Violation (sid)","Drugs","Government","2018-04-25","First Quarter"
218009531,"Domestic Disturbance","2018-05-24",11,"Thursday","2900 BLK SW ARCHER RD",29.630129,-82.366468,"Domestic Disturbance","Quality of Life","Person","2018-05-24","First Quarter"
218011475,"Burglary to Conveyance","2018-06-22",19,"Friday","2100 BLK NW 31ST AVE",29.681247,-82.351506,"Burglary to Conveyance","Theft","Property","2018-06-22","First Quarter"
218013501,"Computer Crimes","2018-07-25",10,"Wednesday","500 BLK NW 8TH AVE",29.659423,-82.329994,"Computer Crimes","Other","Other ","2018-07-25","First Quarter"
218005856,"Theft Grand - Retail","2018-03-31",16,"Saturday","6400 BLK W NEWBERRY RD",29.659701,-82.411853,"Theft Grand - Retail","Theft","Property","2018-03-31","First Quarter"
218007646,"Criminal Mischief (misdemeanor)","2018-04-25",15,"Wednesday","100 BLK SW 10TH ST",29.651159,-82.335001,"Criminal Mischief (misdemeanor)","Quality of Life","Property","2018-04-25","First Quarter"
218007941,"Theft Petit - Other","2018-04-30",13,"Monday","2800 BLK NE 52ND ST",29.676379,-82.261837,"Theft Petit - Other","Theft","Property","2018-04-30","First Quarter"
218009680,"Burglary to Conveyance","2018-05-24",22,"Thursday","3500 BLK NE 11TH TER",29.685018,-82.31127,"Burglary to Conveyance","Theft","Property","2018-05-24","First Quarter"
218009810,"Burglary to Residence","2018-05-29",11,"Tuesday","1700 BLK SW 37TH ST",29.636602,-82.378148,"Burglary to Residence","Theft","Property","2018-05-29","First Quarter"
218011371,"Driving Under the Influence","2018-06-22",2,"Friday","6700 BLK W NEWBERRY RD",29.659716,-82.414257,"Driving Under the Influence","Alcohol","Government","2018-06-22","First Quarter"
218013272,"Trespass Warning","2018-07-21",7,"Saturday","3400 BLK SW ARCHER RD",29.626953,-82.372611,"Trespass Warning","Quality of Life","Other ","2018-07-21","First Quarter"
218013483,"Battery (simple)","2018-07-25",1,"Wednesday","3000 BLK NE 28TH DR",29.679854,-82.288972,"Battery (simple)","Battery","Person","2018-07-25","First Quarter"
218005473,"Trespass Warning","2018-03-25",17,"Sunday","2900 BLK SW 42ND ST",29.627061,-82.385022,"Trespass Warning","Quality of Life","Other ","2018-03-25","First Quarter"
218005872,"Theft Petit - Retail","2018-03-31",20,"Saturday","3500 BLK SW ARCHER RD",29.624637,-82.375208,"Theft Petit - Retail","Theft","Property","2018-03-31","First Quarter"
218008944,"Burglary to a Structure","2018-04-25",0,"Wednesday","1100 BLK NW 53RD AVE",29.703222,-82.33696,"Burglary to a Structure","Theft","Property","2018-04-25","First Quarter"
218007587,"Missing Person","2018-04-25",11,"Wednesday","6500 BLK W NEWBERRY RD",29.659699,-82.411597,"Missing Person","Other","Person","2018-04-25","First Quarter"
218007693,"Trespass Warning","2018-04-26",21,"Thursday","4300 BLK SW 20TH AVE",29.636046,-82.388919,"Trespass Warning","Quality of Life","Other ","2018-04-26","First Quarter"
218008072,"Dating Violence Simple Battery","2018-04-30",0,"Monday","3000 BLK NE 28TH DR",29.679854,-82.288972,"Dating Violence Simple Battery","Battery","Person","2018-04-30","First Quarter"
218007945,"Suspicious Incident","2018-04-30",10,"Monday","1900 BLK NE 9TH ST",29.669558,-82.314799,"Suspicious Incident","Other","Other ","2018-04-30","First Quarter"
218009548,"Trespass Warning","2018-05-24",16,"Thursday","1200 BLK W UNIVERSITY AVE",29.652073,-82.3371,"Trespass Warning","Quality of Life","Other ","2018-05-24","First Quarter"
218009768,"Suspicious Incident","2018-05-28",21,"Monday","3900 BLK SW 1ST AVE",29.65132,-82.383001,"Suspicious Incident","Other","Other ","2018-05-28","First Quarter"
218009833,"Theft Grand - Other","2018-05-29",9,"Tuesday","1100 BLK E UNIVERSITY AVE",29.651993,-82.31077,"Theft Grand - Other","Theft","Property","2018-05-29","First Quarter"
218011330,"Trespass","2018-06-21",12,"Thursday","4400 BLK NW 19TH AVE",29.669937,-82.390517,"Trespass","Quality of Life","Property","2018-06-21","First Quarter"
218014078,"Theft Petit - Retail","2018-06-22",16,"Friday","6400 BLK W NEWBERRY RD",29.659701,-82.411853,"Theft Petit - Retail","Theft","Property","2018-06-22","First Quarter"
618005514,"Theft Petit - Bicycle","2018-06-23",0,"Saturday","700 BLK SW 2ND AVE",29.65028,-82.331607,"Theft Petit - Bicycle","Theft","Property","2018-06-23","First Quarter"
218013271,"Drug Violation","2018-07-21",5,"Saturday","500 BLK NW 8TH AVE",29.659423,-82.329994,"Drug Violation","Drugs","Government","2018-07-21","First Quarter"
218013418,"Robbery by Sudden Snatching","2018-07-23",23,"Monday","2000 BLK SW 34TH ST",29.634235,-82.372609,"Robbery by Sudden Snatching","Theft","Property","2018-07-23","First Quarter"
218013544,"Disturbance","2018-07-25",21,"Wednesday","3000 BLK NE 28TH DR",29.679854,-82.288972,"Disturbance","Quality of Life","Person","2018-07-25","First Quarter"
218005461,"Resist/obstructing Without Violence","2018-03-25",15,"Sunday","3800 BLK SW ARCHER RD",29.620465,-82.380355,"Resist/obstructing Without Violence","Gov Reg Vio","Government","2018-03-25","First Quarter"
218005450,"Theft Petit - Retail","2018-03-25",10,"Sunday","100 BLK NE 16TH AVE",29.666606,-82.323874,"Theft Petit - Retail","Theft","Property","2018-03-25","First Quarter"
218005528,"Damage to Property","2018-03-26",18,"Monday","2200 BLK NW 13TH ST",29.673111,-82.339142,"Damage to Property","Quality of Life","Property","2018-03-26","First Quarter"
618005117,"Theft Petit - Bicycle","2018-03-31",0,"Saturday","1300 BLK W UNIVERSITY AVE",29.652077,-82.339894,"Theft Petit - Bicycle","Theft","Property","2018-03-31","First Quarter"
218005880,"Theft Grand - Other","2018-03-31",17,"Saturday","1800 BLK NW 43RD ST",29.66886,-82.388995,"Theft Grand - Other","Theft","Property","2018-03-31","First Quarter"
218012221,"Theft Grand - Other","2018-04-25",0,"Wednesday","2700 BLK SW 34TH ST",29.628446,-82.37265,"Theft Grand - Other","Theft","Property","2018-04-25","First Quarter"
218007603,"Burglary to Conveyance","2018-04-25",16,"Wednesday","2900 BLK SW 42ND ST",29.627061,-82.385022,"Burglary to Conveyance","Theft","Property","2018-04-25","First Quarter"
218007615,"Battery on a Emergency Medicalcare Provider","2018-04-25",22,"Wednesday","6500 BLK W NEWBERRY RD",29.659699,-82.411597,"Battery on a Emergency Medicalcare Provider","Battery","Person","2018-04-25","First Quarter"
218007681,"Theft Petit - Retail","2018-04-26",18,"Thursday","2900 BLK SW 42ND ST",29.627061,-82.385022,"Theft Petit - Retail","Theft","Property","2018-04-26","First Quarter"
218007669,"Traffic Offense (all Other)","2018-04-26",16,"Thursday","800 BLK NW 43RD ST",29.659602,-82.389145,"Traffic Offense (all Other)","Gov Reg Vio","Government","2018-04-26","First Quarter"
218007691,"Domestic Simple Battery","2018-04-26",19,"Thursday","1200 BLK SE 17TH DR",29.640237,-82.301967,"Domestic Simple Battery","Battery","Person","2018-04-26","First Quarter"
218007976,"Theft Petit - Retail","2018-04-30",19,"Monday","2900 BLK SW 42ND ST",29.627061,-82.385022,"Theft Petit - Retail","Theft","Property","2018-04-30","First Quarter"
218007942,"Burglary to Conveyance","2018-04-30",8,"Monday","2900 BLK SW 42ND ST",29.627061,-82.385022,"Burglary to Conveyance","Theft","Property","2018-04-30","First Quarter"
218007936,"Burglary to Business","2018-04-30",2,"Monday","1600 BLK W UNIVERSITY AVE",29.652085,-82.34322,"Burglary to Business","Theft","Property","2018-04-30","First Quarter"
218009569,"Burglary to Conveyance","2018-05-24",0,"Thursday","3900 BLK SW 20TH AVE",29.633997,-82.381483,"Burglary to Conveyance","Theft","Property","2018-05-24","First Quarter"
218009880,"Juvenile Problem / Disturbance","2018-05-24",14,"Thursday","1900 BLK NW 13TH ST",29.668787,-82.339149,"Juvenile Problem / Disturbance","Quality of Life","Person","2018-05-24","First Quarter"
218009632,"Disturbance","2018-05-25",20,"Friday","2400 BLK SE 4TH LN",29.647205,-82.293346,"Disturbance","Quality of Life","Person","2018-05-25","First Quarter"
